"","BARRIO","PROMEDIOUSD_2018","PROMEDIOUSD_2019","PROMEDIOUSD_2020","VARIACION_18_19","VARIACION_19_20","VARIACION_18_20","rebote"
"1","AGRONOMIA",2291.8435182,1787.706009,1919.95890410959,-21.9970301286515,7.39791075511169,-16.2264400312325,"Positivo"
"2","ALMAGRO",2522.86524015789,2704.63024740441,2631.45388349515,7.20470536250843,-2.70559585656829,4.30417929617417,"Negativo"
"3","BALVANERA",2204.30709222,2380.44298039316,2327.30465116279,7.9905331155911,-2.2322874216292,5.57987402830147,"Negativo"
"4","BARRACAS",1107.9090532,1429.3789718871,1346.20245398773,29.0159122500703,-5.81906684897955,21.5083900704179,"Negativo"
"5","BELGRANO",4287.27343925,4887.87063146421,4361.53405017921,14.0088380348158,-10.7682183300201,1.73211743970785,"Negativo"
"6","BOCA",1072.1556999,1217.81099646269,998.891774891775,13.5852746551897,-17.9764530133818,-6.83332887332114,"Negativo"
"7","BOEDO",2079.73630327778,2021.31317090278,1960.34645669291,-2.80916057881577,-3.01619338791698,-5.74062425109854,"Nulo"
"8","CABALLITO",2335.95850937037,3053.03891592769,2867.98333333333,30.697480442433,-6.0613568215237,22.775439796076,"Negativo"
"9","CHACARITA",3263.6704455,2973.92121121504,2646.73469387755,-8.87801753036906,-11.0018556007342,-18.9031264622042,"Nulo"
"10","COGHLAN",3402.63158166667,3038.0986355,2722.75700934579,-10.7132652306751,-10.379571698873,-19.9808458836398,"Nulo"
"11","COLEGIALES",3403.20711530769,3404.83685116,3369.78761061947,0.0478882359224331,-1.02939559434662,-0.982000317814968,"Negativo"
"12","CONSTITUCION",2043.97891278571,1826.55910568182,1596.23645320197,-10.637086603187,-12.6096468361407,-21.9054343850114,"Nulo"
"13","FLORES",2055.37894463793,2092.03679849453,1970.33411214953,1.78350828941918,-5.81742569884871,-4.13767167899929,"Negativo"
"14","FLORESTA",2210.491676,2134.79067628431,1611.56018518519,-3.42462269989957,-24.5096859805399,-27.0949444106758,"Nulo"
"15","LINIERS",1643.79507366667,1388.57474668578,1415.175,-15.5262861575311,1.91565152525692,-13.9080641698667,"Positivo"
"16","MATADEROS",1089.22386455556,1270.71488736364,1176.92045454545,16.6624170396905,-7.38123348918797,8.05129164386078,"Negativo"
"17","MONSERRAT",1962.46838746667,2630.03062055319,2763.12371134021,34.0164579134075,5.06051487564128,40.798380701923,"Nulo"
"18","MONTE CASTRO",1402.80093458824,1529.99098538462,1530.03414634146,9.06686384791398,0.00282099419279813,9.06994061780939,"Nulo"
"19","NUEVA POMPEYA",2337.60554591667,1361.5666086,1251.97660818713,-41.7537911398958,-8.04881668811992,-46.4419217188251,"Nulo"
"20","NUÑEZ",4223.97472578571,3996.02702868942,3718.49473684211,-5.39652133107615,-6.94520557180365,-11.9669274027103,"Nulo"
"21","PALERMO",4780.05700982258,4485.62237092932,4313.57394366197,-6.15964701442316,-3.83555308584086,-9.75894356912541,"Nulo"
"22","PARQUE AVELLANEDA",1177.95760714286,1363.00235726087,1426.01142857143,15.7089481825105,4.6228145516332,21.0579582766334,"Nulo"
"23","PARQUE CHACABUCO",1327.75421736,1947.39686305495,1551.54022988506,46.6684750530857,-20.3274761647143,16.8544757455198,"Negativo"
"24","PARQUE CHAS",1771.64785333333,2276.62123511364,1882.4465408805,28.5030335362754,-17.3140216806182,6.25399044955257,"Negativo"
"25","PARQUE PATRICIOS",2039.9371965,2084.53727256738,1681.94166666667,2.18634554749519,-19.3134280302343,-17.5493407565468,"Negativo"
"26","PATERNAL",1793.487154,2120.61167505882,1742.3119266055,18.2395798224281,-17.839180690299,-2.85339246954514,"Negativo"
"27","RECOLETA",5221.9902364,5664.15462553333,5748.3125,8.46735380796419,1.48579761730538,10.0789591663971,"Nulo"
"28","RETIRO",11428.571429,3181.0589333,5960.06896551724,-72.1657343346688,87.3611615027302,-47.8493965536798,"Positivo"
"29","SAAVEDRA",2129.58156975,2514.35680473913,2447.67213114754,18.0681144340623,-2.65215634733704,14.9367634429181,"Negativo"
"30","SAN CRISTOBAL",1860.04252585714,1755.61282323255,1621.38823529412,-5.61437177768139,-7.64545497516283,-12.8305824864434,"Nulo"
"31","SAN NICOLAS",3634.19641714286,2581.0710370566,3603.63703703704,-28.9782185442305,39.6178944825379,-0.840884107465101,"Positivo"
"32","SAN TELMO",3313.02089142857,1870.0974195,3381.71232876712,-43.5531051331942,80.830810924881,2.07337772956007,"Positivo"
"33","VELEZ SARSFIELD",773.49403275,1463.34154550909,1539.28497409326,89.1858868395505,5.18972681512659,99.0041175392978,"Nulo"
"34","VERSALLES",1068.70229,1650.59684752,1127.17105263158,54.4487050289749,-31.7113046516999,5.47100564663139,"Negativo"
"35","VILLA CRESPO",3061.36843779245,3107.72380392528,3038.44189189189,1.51420409123488,-2.22934586226355,-0.748898617282845,"Negativo"
"36","VILLA DEL PARQUE",2038.21817726923,2413.05575595789,2148.13962264151,18.3904541166866,-10.9784505667679,5.39301663571412,"Negativo"
"37","VILLA DEVOTO",1647.61009970588,2172.97810937072,2035.54461538462,31.8866708670104,-6.32466076825338,23.5452863361292,"Negativo"
"38","VILLA GRAL. MITRE",1568.23808533333,1705.78755729333,1524.61256544503,8.77095596940329,-10.6211931886634,-2.78181739726303,"Negativo"
"39","VILLA LUGANO",740.722871875,834.677974153846,875.783333333333,12.6842447892849,4.92469676358209,18.2336021454897,"Nulo"
"40","VILLA LURO",1449.342668125,1576.52131046,1743.53990610329,8.77491880505592,10.5941222954071,20.2986667299933,"Nulo"
"41","VILLA ORTUZAR",2434.05239255,2882.54942586111,2393.18274111675,18.4259399955335,-16.9768705561109,-1.67907854236581,"Negativo"
"42","VILLA PUEYRREDON",2008.4860169,1842.64155692,1761.5798816568,-8.2571876818925,-4.3992101968378,-12.2931468362564,"Nulo"
"43","VILLA REAL",1449.43823325,1449.64611646667,1235.2,0.0143423301454115,-14.7929976861769,-14.780777016598,"Negativo"
"44","VILLA RIACHUELO",930.232558,1299.31570833333,661.27027027027,39.6764386667848,-49.1062667811121,-28.913445935283,"Negativo"
"45","VILLA SANTA RITA",1809.61040215789,1618.48734916418,1808.50892857143,-10.561558043975,11.7406898178958,-0.0608679959593794,"Positivo"
"46","VILLA SOLDATI",466.445983,809.574181166667,587.25,73.5622581546954,-27.4618665390586,25.8988224580766,"Negativo"
"47","VILLA URQUIZA",2857.78805992308,2675.4067455371,2753.91348088531,-6.38190483554915,2.93438504179488,-3.63478945463021,"Positivo"
